2022-12-28 09:27:49,754 [main][] INFO  c.a.u.UCApplication Starting UCApplication using Java 1.8.0_102 on LAPTOP-4AHHCIO7 with PID 12784 (D:\workspace\wrokspace-spring\guli-parent\service\service-uc\target\classes started by Songbing in D:\workspace\wrokspace-spring\guli-parent) 
2022-12-28 09:27:49,760 [main][] INFO  c.a.u.UCApplication No active profile set, falling back to default profiles: default 
2022-12-28 09:27:51,904 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode! 
2022-12-28 09:27:51,908 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
2022-12-28 09:27:51,976 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 28 ms. Found 0 Redis repository interfaces. 
2022-12-28 09:27:53,034 [main][] INFO  o.s.b.w.e.t.TomcatWebServer Tomcat initialized with port(s): 8082 (http) 
2022-12-28 09:27:53,052 [main][] INFO  o.a.c.h.Http11NioProtocol Initializing ProtocolHandler ["http-nio-8082"] 
2022-12-28 09:27:53,053 [main][] INFO  o.a.c.c.StandardService Starting service [Tomcat] 
2022-12-28 09:27:53,053 [main][] INFO  o.a.c.c.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.41] 
2022-12-28 09:27:53,224 [main][] INFO  o.a.c.c.C.[.[.[/] Initializing Spring embedded WebApplicationContext 
2022-12-28 09:27:53,224 [main][] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 3396 ms 
2022-12-28 09:27:57,204 [main][] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2022-12-28 09:27:57,377 [main][] INFO  o.s.s.c.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor' 
2022-12-28 09:27:57,942 [main][] INFO  o.s.s.w.DefaultSecurityFilterChain Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5724c7da, org.springframework.security.web.context.SecurityContextPersistenceFilter@7e691624, org.springframework.security.web.header.HeaderWriterFilter@1169fdfd, org.springframework.security.web.authentication.logout.LogoutFilter@62b42406, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5d9d8e46, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@470c4229, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ad2883a, org.springframework.security.web.session.SessionManagementFilter@1626bddf, org.springframework.security.web.access.ExceptionTranslationFilter@4331be30, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1e482ecd] 
2022-12-28 09:27:58,021 [main][] INFO  o.a.c.h.Http11NioProtocol Starting ProtocolHandler ["http-nio-8082"] 
2022-12-28 09:27:58,057 [main][] INFO  o.s.b.w.e.t.TomcatWebServer Tomcat started on port(s): 8082 (http) with context path '' 
2022-12-28 09:27:58,058 [main][] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper Context refreshed 
2022-12-28 09:27:58,093 [main][] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper Found 1 custom documentation plugin(s) 
2022-12-28 09:27:58,149 [main][] INFO  s.d.s.w.s.ApiListingReferenceScanner Scanning for api listing references 
2022-12-28 09:27:58,414 [main][] WARN  s.d.s.w.r.p.ParameterDataTypeReader Trying to infer dataType java.lang.Long[] 
2022-12-28 09:27:58,482 [main][] INFO  c.a.u.UCApplication Started UCApplication in 9.394 seconds (JVM running for 12.696) 
2022-12-28 09:28:42,142 [http-nio-8082-exec-2][] INFO  o.a.c.c.C.[.[.[/] Initializing Spring DispatcherServlet 'dispatcherServlet' 
2022-12-28 09:28:42,143 [http-nio-8082-exec-2][] INFO  o.s.w.s.DispatcherServlet Initializing Servlet 'dispatcherServlet' 
2022-12-28 09:28:42,144 [http-nio-8082-exec-2][] INFO  o.s.w.s.DispatcherServlet Completed initialization in 1 ms 
2022-12-28 09:31:42,917 [http-nio-8082-exec-9][] INFO  c.a.d.p.DruidDataSource {dataSource-1} inited 
2022-12-28 09:31:43,212 [http-nio-8082-exec-9][] DEBUG c.a.u.m.U.selectList ==>  Preparing: SELECT id,username,password,nick_name,avatar,phone,email,status,token,is_deleted,gmt_create,gmt_modified FROM uc_user WHERE is_deleted=0 AND (username = ?) 
2022-12-28 09:31:43,549 [http-nio-8082-exec-9][] DEBUG c.a.u.m.U.selectList ==> Parameters: admin(String) 
2022-12-28 09:31:43,936 [http-nio-8082-exec-9][] DEBUG c.a.u.m.U.selectList <==      Total: 1 
2022-12-28 10:04:21,987 [SpringContextShutdownHook][] INFO  o.s.s.c.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor' 
2022-12-28 10:04:22,059 [SpringContextShutdownHook][] INFO  c.a.d.p.DruidDataSource {dataSource-1} closing ... 
2022-12-28 10:04:22,060 [SpringContextShutdownHook][] INFO  c.a.d.p.DruidDataSource {dataSource-1} closed 
